COUNTRY,REGION,REGION-DESC,REGION-CODE
jpn,21,gifu,9546
jpn,22,shizuoka,9550
jpn,23,aichi,9562
jpn,24,mie,9572
jpn,25,shiga,9577
jpn,26,kyoto,9580
jpn,27,osaka,9584
jpn,28,hyogo,9598
jpn,29,nara,9605
jpn,30,wakayama,9609
jpn,31,tottori,9610
jpn,32,shimane,9612
jpn,33,okayama,9615
jpn,34,hiroshima,9620
jpn,35,yamaguchi,9625
jpn,36,tokushima,9630
jpn,37,kagawa,9631
jpn,38,ehime,9633
jpn,39,kochi,12578
jpn,40,fukuoka,9636
jpn,41,saga,12580
jpn,42,nagasaki,9641
jpn,43,kumamoto,9643
jpn,44,oita,9646
jpn,45,miyazaki,9648
jpn,46,kagoshima,9650
jpn,47,okinawa,9652
jpn,?,japan,75
jpn,aol,aol,9246
kaz,?,kazakhstan,223
kaz,no region,kazakhstan,11892
ken,?,kenya,363
ken,no region,kenya,11896
kgz,?,kyrgyzstan,236
kgz,no region,kyrgyzstan,11899
khm,?,cambodia,557
khm,no region,cambodia,23833
kir,?,kiribati,560
kna,?,saint kitts and nevis,593
kna,no region,saint kitts and nevis,7991
kor,11,seoul teugbyeolsi,25025
kor,26,busan gwangyeogsi,25026
kor,27,daegu gwangyeogsi,25027
kor,28,incheon gwangyeogsi,25028
kor,29,gwangju gwangyeogsi,25029
kor,30,daejeon gwangyeogsi,25030
kor,31,ulsan gwanqyeogsi,25031
kor,41,gyeonggldo,25032
kor,42,gang weondo,25033
kor,43,chungcheongbugdo,25034
kor,44,chungcheongnamdo,25035
kor,45,jeonrabugdo,25036
kor,46,jeonranamdo,25037
kor,47,gyeongsangbugdo,25038
kor,48,gyeongsangnamdo,25039
kor,49,jejudo,25040
kor,?,korea - south,385
kwt,?,kuwait,468
kwt,no region,kuwait,8033
lao,?,lao peoples democratic republi,481
lao,no region,lao peoples democratic republi,11902
lbn,?,lebanon,234
lbn,no region,lebanon,11903
lbr,?,liberia,23769
lbr,no region,liberia,11905
lby,?,libyan arab jamahiriya,990
lby,no region,libyan arab jamahiriya,12745
lca,?,saint lucia,23771
lca,no region,saint lucia,8041
lie,?,liechtenstein,489
lie,no region,liechtenstein,8042
lka,?,sri lanka,440
lka,no region,sri lanka,11906
lso,?,lesotho,637
lso,no region,lesotho,15123
ltu,?,lithuania,238
ltu,no region,lithuania,11908
lux,?,luxembourg,225
lux,no region,luxembourg,11909
lva,?,latvia,244
lva,no region,latvia,11910
mac,?,macau,1949
mac,no region,macau,8057
maf,?,saint martin,25124
